State/UTs,Pre-Primary  - Boys,Pre-Primary  - Girls,Pre-Primary  - Total,Class I - Boys,Class I - Girls,Class I - Total,Class II - Boys,Class II - Girls,Class II - Total,Class III - Boys,Class III - Girls,Class III - Total,Class IV - Boys,Class IV - Girls,Class IV  - Total,Class V  - Boys,Class V  - Girls,Class V  - Total,TOTAL (Class I - V) - Boys,TOTAL (Class I - V) - Girls,TOTAL (Class I - V) - Total,Class VI  - Boys,Class VI  - Girls,Class VI  - Total,Class VII - Boys,Class VII  - Girls,Class VII  - Total,Class VIII  - Boys,Class VIII  - Girls,Class VIII  - Total,TOTAL (Class VI - VIII) - Boys,TOTAL (Class VI - VIII) - Girls,(Class VI - VIII) - Total,TOTAL (Class I - VIII) - Boys,TOTAL (Class I - VIII) - Girls,Class I - VIII - Total,Class IX  - Boys,Class IX  - Girls,Class IX  - Total,Class X  - Boys,Class X  - Girls,Class X  - Total,TOTAL (Class IX-X)  - Boys,TOTAL (Class IX-X) - Girls,(Class IX-X) - TOTAL,TOTAL (Class I-X) - Boys,TOTAL (Class I-X) - Girls,Class I-X - TOTAL,Class XI  - Boys,Class XI  - Girls,Class XI  - Total,Class XII  - Boys,Class XII  - Girls,Class XII  - Total,TOTAL (Class XI- XII) - Boys,TOTAL (Class XI- XII) - Girls,(Class XI- XII) - TOTAL,TOTAL (Class I- XII) - Boys,TOTAL (Class I- XII) - Girls,(Class I- XII)  - Total,Grand Total (Pre-Primary to XII +  Pre-Primary to Class XII) - Boys,Grand Total (Pre-Primary to XII +  Pre-Primary to Class XII) - Girls,Grand Total (Pre-Primary to XII +  Pre-Primary to Class XII) - Total
Andhra Pradesh,218987,171489,390476,803984,752683,1556667,736481,709846,1446327,706355,683132,1389487,690966,668319,1359285,695578,677596,1373174,3633364,3491576,7124940,661286,644742,1306028,620083,599521,1219604,568707,549221,1117928,1850076,1793484,3643560,5483440,5285060,10768500,551501,536845,1088346,535059,515517,1050576,1086560,1052362,2138922,6570000,6337422,12907422,464964,397975,862939,384544,333078,717622,849508,731053,1580561,7419508,7068475,14487983,7638495,7239964,14878459
Arunachal Pradesh,27805,24646,52451,34403,32039,66442,24428,23376,47804,21530,19726,41256,19317,17482,36799,17576,16102,33678,117254,108725,225979,15400,14797,30197,13660,12851,26511,13075,11979,25054,42135,39627,81762,159389,148352,307741,10535,9325,19860,8992,7738,16730,19527,17063,36590,178916,165415,344331,6303,5567,11870,6075,5084,11159,12378,10651,23029,191294,176066,367360,219099,200712,419811
Assam,392239,378843,771082,369391,358895,728286,309241,304354,613595,281209,278475,559684,262122,262375,524497,240677,255975,496652,1462640,1460074,2922714,230783,248342,479125,223757,242311,466068,222350,184119,406469,676890,674772,1351662,2139530,2134846,4274376,190063,172451,362514,163424,134303,297727,353487,306754,660241,2493017,2441600,4934617,66776,52474,119250,58679,43293,101972,125455,95767,221222,2618472,2537367,5155839,3010711,2916210,5926921
Bihar,122,98,220,2132497,1820637,3953134,1763384,1524300,3287684,1577319,1355791,2933110,1392237,1177486,2569723,1211338,979285,2190623,8076775,6857499,14934274,1009540,828497,1838037,874604,741200,1615804,781632,644959,1426591,2665776,2214656,4880432,10742551,9072155,19814706,635525,470794,1106319,545475,396296,941771,1181000,867090,2048090,11923551,9939245,21862796,321358,219242,540600,289240,189948,479188,610598,409190,1019788,12534149,10348435,22882584,12534271,10348533,22882804
Chhattisgarh,53274,42295,95569,387837,358789,746626,344795,320299,665094,335859,310493,646352,315608,293584,609192,293575,270775,564350,1677674,1553940,3231614,268600,247100,515700,243550,225631,469181,219810,201136,420946,731960,673867,1405827,2409634,2227807,4637441,185904,166351,352255,155322,141198,296520,341226,307549,648775,2750860,2535356,5286216,103579,83964,187543,93415,71117,164532,196994,155081,352075,2947854,2690437,5638291,3001128,2732732,5733860
Goa,0,0,0,13342,12454,25796,12859,11737,24596,12818,11815,24633,12908,12042,24950,14453,12481,26934,66380,60529,126909,12989,11491,24480,12063,10756,22819,13048,11533,24581,38100,33780,71880,104480,94309,198789,9732,8494,18226,8175,7931,16106,17907,16425,34332,122387,110734,233121,8364,7907,16271,6227,6686,12913,14591,14593,29184,136978,125327,262305,136978,125327,262305
Gujarat,0,0,0,754294,644972,1399266,716535,621864,1338399,721476,629877,1351353,693711,622815,1316526,629377,547218,1176595,3515393,3066746,6582139,567058,494404,1061462,514240,443496,957736,496460,346537,842997,1577758,1284437,2862195,5093151,4351183,9444334,465336,325530,790866,385201,275616,660817,850537,601146,1451683,5943688,4952329,10896017,264786,199592,464378,219538,161832,381370,484324,361424,845748,6428012,5313753,11741765,6428012,5313753,11741765
Haryana,70410,61345,131755,231593,204949,436542,249734,224743,474477,248205,225815,474020,242056,217192,459248,235033,204935,439968,1206621,1077634,2284255,222584,196880,419464,217730,192435,410165,223362,196786,420148,663676,586101,1249777,1870297,1663735,3534032,162987,185464,348451,172657,153024,325681,335644,338488,674132,2205941,2002223,4208164,189187,157965,347152,149454,132759,282213,338641,290724,629365,2544582,2292947,4837529,2614992,2354292,4969284
Himachal Pradesh ,34724,32717,67441,66234,60459,126693,65823,60376,126199,63819,58901,122720,64871,58585,123456,67057,59393,126450,327804,297714,625518,67717,59414,127131,71671,63586,135257,79149,68572,147721,218537,191572,410109,546341,489286,1035627,68375,61755,130130,63964,57865,121829,132339,119620,251959,678680,608906,1287586,56105,51034,107139,46987,42632,89619,103092,93666,196758,781772,702572,1484344,816496,735289,1551785
Jammu & Kashmir ,92111,80799,172910,145444,135246,280690,133660,122180,255840,129057,119207,248264,128058,118021,246079,126688,117313,244001,662907,611967,1274874,120918,108114,229032,114723,99646,214369,113000,99031,212031,348641,306791,655432,1011548,918758,1930306,91441,77902,169343,80807,70859,151666,172248,148761,321009,1183796,1067519,2251315,61328,53255,114583,55004,48671,103675,116332,101926,218258,1300128,1169445,2469573,1392239,1250244,2642483
